EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E00640,78200,ニホンフラッシュ株式会社,その他製品,情報通信・サービスその他 ,7
E05324,23510,株式会社ＡＳＪ,情報・通信業,情報通信・サービスその他 ,
E04353,93660,株式会社サンリツ,倉庫・運輸関連業,運輸・物流 ,7
E01885,69010,澤藤電機株式会社,電気機器,電機・精密 ,7
E31367,31330,株式会社海帆,小売業,小売 ,
E04093,90100,富士急行株式会社,陸運業,運輸・物流 ,6
E30085,36820,エンカレッジ・テクノロジ株式会社,情報・通信業,情報通信・サービスその他 ,
E25282,19090,日本ドライケミカル株式会社,機械,機械 ,7
E31336,39080,株式会社コラボス,情報・通信業,情報通信・サービスその他 ,
E02147,72420,ＫＹＢ株式会社,輸送用機器,自動車・輸送機 ,6
E01645,64900,日本ピラー工業株式会社,機械,機械 ,7
E01074,81310,株式会社ミツウロコグループホールディングス,卸売業,商社・卸売 ,7
E02015,68690,シスメックス株式会社,電気機器,電機・精密 ,4
E02322,77440,ノーリツ鋼機株式会社,精密機器,電機・精密 ,6
E02612,81080,ヤマエ久野株式会社,,,
E32200,39320,株式会社アカツキ,情報・通信業,情報通信・サービスその他 ,7
E30731,94680,カドカワ株式会社,情報・通信業,情報通信・サービスその他 ,6
E02390,69610,株式会社エンプラス,電気機器,電機・精密 ,6
E01768,67040,岩崎通信機株式会社,電気機器,電機・精密 ,7
E21145,,株式会社東京商品取引所,,,
E04857,96860,東洋テック株式会社,サービス業,情報通信・サービスその他 ,
E02433,78890,株式会社　桑山,その他製品,情報通信・サービスその他 ,
E03120,82180,株式会社コメリ,小売業,小売 ,4
E05685,21510,株式会社タケエイ,サービス業,情報通信・サービスその他 ,7
E00852,43620,日本精化株式会社,化学,素材・化学 ,7
E05651,32370,株式会社イントランス,不動産業,不動産 ,
E03583,83810,株式会社山陰合同銀行,銀行業,銀行 ,4
E03730,,株式会社ホンダファイナンス,,,
E04352,,東京湾横断道路株式会社,,,
E04766,,全国不動産信用保証株式会社,,,
E00265,,東光電気工事株式会社,,,
E05256,43360,株式会社クリエアナブキ,サービス業,情報通信・サービスその他 ,
E04164,,大分交通株式会社,,,
E04953,46400,アンドール株式会社,情報・通信業,情報通信・サービスその他 ,
E01622,64060,フジテック株式会社,機械,機械 ,6
E00865,78910,日本ユピカ株式会社,化学,素材・化学 ,
E02248,72080,株式会社カネミツ,輸送用機器,自動車・輸送機 ,
E03432,33170,株式会社フライングガーデン,小売業,小売 ,
E03867,88180,京阪神ビルディング株式会社,不動産業,不動産 ,7
